iter	Passed	Remaining
0	115	115648
1	117	58783
2	119	39781
3	121	30266
4	123	24605
5	125	20833
6	127	18099
7	129	16073
8	131	14486
9	133	13253
10	136	12245
11	138	11363
12	140	10654
13	142	10051
14	145	9535
15	147	9049
16	149	8625
17	150	8235
18	152	7896
19	154	7591
20	157	7324
21	158	7065
22	160	6830
23	162	6619
24	164	6422
25	166	6240
26	168	6071
27	170	5921
28	172	5779
29	174	5637
30	175	5495
31	177	5382
32	179	5273
33	181	5168
34	183	5063
35	185	4958
36	186	4852
37	188	4765
38	190	4688
39	191	4603
40	193	4517
41	194	4437
42	196	4366
43	198	4302
44	199	4234
45	201	4179
46	203	4125
47	205	4066
48	206	4008
49	208	3958
50	209	3905
51	211	3853
52	213	3814
53	215	3775
54	217	3737
55	219	3699
56	221	3662
57	223	3627
58	225	3595
59	226	3553
60	228	3514
61	229	3473
62	231	3436
63	232	3394
64	233	3358
65	235	3329
66	237	3303
67	239	3277
68	240	3250
69	242	3223
70	243	3190
71	245	3159
72	246	3133
73	248	3109
74	250	3083
75	251	3057
76	253	3032
77	254	3007
78	255	2982
79	257	2956
80	258	2931
81	259	2905
82	260	2880
83	261	2856
84	263	2833
85	264	2810
86	265	2786
87	266	2764
88	267	2741
89	269	2720
90	270	2698
91	271	2677
92	272	2656
93	273	2634
94	274	2613
95	275	2591
96	276	2572
97	277	2553
98	278	2532
99	278	2508
100	279	2488
101	280	2470
102	281	2451
103	282	2432
104	283	2414
105	284	2397
106	284	2377
107	285	2359
108	286	2343
109	287	2326
110	288	2310
111	289	2294
112	290	2279
113	291	2263
114	292	2248
115	292	2232
116	293	2218
117	294	2204
118	295	2190
119	296	2176
120	297	2163
121	298	2148
122	299	2134
123	299	2118
124	300	2105
125	301	2092
126	302	2079
127	303	2067
128	304	2055
129	305	2044
130	306	2032
131	307	2020
132	308	2008
133	309	1997
134	310	1986
135	310	1975
136	311	1963
137	312	1953
138	313	1942
139	314	1932
140	315	1921
141	316	1911
142	317	1901
143	318	1892
144	319	1882
145	320	1873
146	321	1864
147	322	1854
148	323	1845
149	324	1836
150	325	1828
151	325	1817
152	326	1809
153	327	1801
154	328	1792
155	329	1784
156	330	1776
157	331	1768
158	332	1760
159	333	1751
160	334	1743
161	335	1735
162	336	1727
163	337	1719
164	338	1712
165	339	1705
166	340	1697
167	341	1689
168	342	1681
169	343	1675
170	343	1667
171	344	1659
172	345	1652
173	346	1645
174	347	1638
175	348	1631
176	349	1624
177	350	1617
178	351	1610
179	352	1604
180	353	1597
181	353	1590
182	354	1584
183	355	1578
184	356	1571
185	357	1565
186	358	1559
187	359	1552
188	360	1546
189	361	1540
190	362	1534
191	363	1528
192	364	1522
193	365	1516
194	365	1510
195	366	1504
196	367	1499
197	368	1493
198	369	1487
199	370	1481
200	371	1476
201	372	1470
202	373	1465
203	374	1459
204	374	1453
205	375	1448
206	376	1442
207	377	1437
208	378	1432
209	379	1427
210	380	1422
211	381	1417
212	382	1412
213	383	1407
214	384	1402
215	385	1397
216	386	1393
217	387	1388
